date,setting,classifier,shot_1,shot_2,shot_3,shot_4,shot_5,shot_6,shot_7,shot_8,shot_9,shot_10
2024-02-26_18-15,S: whole/ Q: whole,matching_1nn,0.6601333333333335,0.7282666666666667,0.7491999999999999,0.7559999999999999,0.7676,0.7754666666666666,0.7789333333333333,0.7794666666666669,0.7828000000000003,0.7834666666666668
2024-02-26_18-15,S: whole/ Q: whole,matching_knn,0.6601333333333335,0.7282666666666667,0.7441333333333333,0.7630666666666667,0.7774666666666668,0.7966666666666667,0.8024000000000001,0.8064000000000001,0.8084,0.8133333333333332
2024-02-26_18-15,S: whole/ Q: whole,ncm_max,0.6601333333333335,0.7470666666666667,0.7763999999999999,0.7901333333333332,0.8092,0.8182666666666667,0.8309333333333335,0.8319999999999999,0.8390666666666666,0.8375999999999999
2024-02-26_18-15,S: whole/ Q: whole,ncm_sum,0.6601333333333335,0.7470666666666667,0.7763999999999999,0.7901333333333332,0.8092,0.8182666666666667,0.8309333333333335,0.8319999999999999,0.8390666666666666,0.8375999999999999
,,,,,,,,,,,,
2024-02-26_18-20,S: whole/ Q: filtered,matching_1nn,0.6914666666666668,0.7624000000000001,0.7814666666666666,0.7910666666666667,0.8,0.8070666666666668,0.8101333333333333,0.812,0.8154666666666666,0.8170666666666666
2024-02-26_18-20,S: whole/ Q: filtered,matching_knn,0.6914666666666668,0.7624000000000001,0.7877333333333333,0.7978666666666666,0.8142666666666666,0.8321333333333334,0.8414666666666666,0.8438666666666667,0.8513333333333333,0.856
2024-02-26_18-20,S: whole/ Q: filtered,ncm_max,0.6914666666666668,0.7773333333333333,0.8062666666666668,0.8193333333333334,0.8369333333333333,0.8478666666666667,0.8571999999999999,0.8583999999999999,0.8642666666666665,0.8630666666666668
2024-02-26_18-20,S: whole/ Q: filtered,ncm_sum,0.6976,0.7821333333333332,0.8146666666666667,0.8288000000000001,0.8453333333333333,0.8556,0.8659999999999998,0.8665333333333334,0.8742666666666665,0.8727999999999999
,,,,,,,,,,,,
2024-02-26_18-26,S: whole/ Q: unfiltered,matching_1nn,0.6870666666666666,0.7585333333333334,0.7782666666666667,0.7870666666666668,0.7950666666666669,0.8022666666666667,0.8047999999999998,0.8078666666666665,0.8105333333333333,0.8115999999999999
2024-02-26_18-26,S: whole/ Q: unfiltered,matching_knn,0.6870666666666666,0.7585333333333334,0.7802666666666669,0.7906666666666666,0.8037333333333333,0.8189333333333333,0.8263999999999997,0.8317333333333332,0.8349333333333334,0.8392000000000001
2024-02-26_18-26,S: whole/ Q: unfiltered,ncm_max,0.6870666666666666,0.7750666666666666,0.8049333333333333,0.8181333333333334,0.8351999999999999,0.8459999999999998,0.8555999999999999,0.8577333333333335,0.8627999999999999,0.8628
2024-02-26_18-26,S: whole/ Q: unfiltered,ncm_sum,0.6841333333333333,0.7669333333333332,0.8017333333333332,0.8151999999999999,0.8302666666666667,0.8398666666666667,0.8472000000000002,0.8486666666666666,0.8566666666666667,0.8560000000000001
,,,,,,,,,,,,
2024-02-26_18-31,S: filtered/ Q: whole,matching_1nn,0.686,0.7446666666666666,0.7629333333333332,0.7698666666666665,0.7778666666666666,0.7857333333333334,0.7882666666666667,0.7874666666666666,0.7909333333333334,0.7911999999999999
2024-02-26_18-31,S: filtered/ Q: whole,matching_knn,0.686,0.7590666666666668,0.7710666666666666,0.7897333333333334,0.8002666666666666,0.8141333333333334,0.8182666666666667,0.8231999999999999,0.8289333333333334,0.8298666666666666
2024-02-26_18-31,S: filtered/ Q: whole,ncm_max,0.6925333333333334,0.7717333333333333,0.7977333333333333,0.8065333333333333,0.8188,0.8252000000000002,0.8332,0.8373333333333335,0.8390666666666668,0.8406666666666668
2024-02-26_18-31,S: filtered/ Q: whole,ncm_sum,0.6925333333333334,0.7717333333333333,0.7977333333333333,0.8065333333333333,0.8188,0.8252000000000002,0.8332,0.8373333333333335,0.8390666666666668,0.8406666666666668
,,,,,,,,,,,,
2024-02-26_18-37,S: filtered/ Q: filtered,matching_1nn,0.7210666666666667,0.7898666666666665,0.8058666666666667,0.8163999999999999,0.8258666666666667,0.8298666666666666,0.8308,0.8334666666666667,0.8349333333333334,0.8354666666666667
2024-02-26_18-37,S: filtered/ Q: filtered,matching_knn,0.7210666666666667,0.796,0.8257333333333334,0.8403999999999999,0.8594666666666666,0.8689333333333331,0.8755999999999999,0.88,0.882,0.8845333333333333
2024-02-26_18-37,S: filtered/ Q: filtered,ncm_max,0.7366666666666666,0.8231999999999999,0.8470666666666666,0.8623999999999999,0.8741333333333334,0.8815999999999998,0.8876,0.8906666666666665,0.8949333333333332,0.8969333333333332
2024-02-26_18-37,S: filtered/ Q: filtered,ncm_sum,0.7424000000000001,0.824533333333333,0.8519999999999999,0.8681333333333331,0.8794666666666666,0.8855999999999998,0.8931999999999998,0.8974666666666665,0.9029333333333333,0.9044
,,,,,,,,,,,,
2024-02-26_18-45,S: filtered/ Q: unfiltered,matching_1nn,0.7026666666666667,0.7665333333333334,0.7803999999999999,0.7896,0.7987999999999998,0.8041333333333331,0.8021333333333331,0.8062666666666667,0.8064,0.8056000000000002
2024-02-26_18-45,S: filtered/ Q: unfiltered,matching_knn,0.7026666666666667,0.7725333333333332,0.7966666666666665,0.8123999999999999,0.8276000000000002,0.8416000000000001,0.8446666666666666,0.8465333333333332,0.8489333333333333,0.8498666666666667
2024-02-26_18-45,S: filtered/ Q: unfiltered,ncm_max,0.7186666666666666,0.8068,0.8311999999999999,0.8478666666666664,0.8610666666666669,0.8708,0.8756,0.8789333333333333,0.8825333333333332,0.8850666666666666
