date,Q,S,classifier,shot_1,shot_2,shot_3,shot_4,shot_5,shot_6,shot_7,shot_8,shot_9,shot_10
2024-02-29_14-59,whole,whole,ncm_max,0.8103999999999999,0.8856,0.9152,0.9281333333333334,0.9378666666666666,0.9419999999999998,0.9466666666666664,0.9488,0.9512,0.9526666666666666
2024-02-29_14-59,whole,whole,ncm_sum,0.8103999999999999,0.8856,0.9152,0.9281333333333334,0.9378666666666666,0.9419999999999998,0.9466666666666664,0.9488,0.9512,0.9526666666666666
2024-02-29_14-59,whole,whole,ncm_mean,0.8103999999999999,0.8856,0.9152,0.9281333333333334,0.9378666666666666,0.9419999999999998,0.9466666666666664,0.9488,0.9512,0.9526666666666666
,,,,,,,,,,,,,
2024-02-29_15-05,whole,filtered,ncm_max,0.8333333333333335,0.902,0.924,0.9337333333333332,0.9438666666666664,0.9481333333333332,0.9519999999999998,0.9529333333333332,0.9549333333333332,0.9565333333333332
2024-02-29_15-05,whole,filtered,ncm_sum,0.8333333333333335,0.902,0.924,0.9337333333333332,0.9438666666666664,0.9481333333333332,0.9519999999999998,0.9529333333333332,0.9549333333333332,0.9565333333333332
2024-02-29_15-05,whole,filtered,ncm_mean,0.8333333333333335,0.902,0.924,0.9337333333333332,0.9438666666666664,0.9481333333333332,0.9519999999999998,0.9529333333333332,0.9549333333333332,0.9565333333333332
,,,,,,,,,,,,,
2024-02-29_15-11,filtered,whole,ncm_max,0.8124000000000001,0.8866666666666666,0.9196,0.9312,0.9390666666666668,0.9450666666666666,0.9496,0.9521333333333332,0.9528,0.954
2024-02-29_15-11,filtered,whole,ncm_sum,0.8124000000000001,0.8866666666666666,0.9196,0.9312,0.9390666666666668,0.9450666666666666,0.9496,0.9521333333333332,0.9528,0.954
2024-02-29_15-11,filtered,whole,ncm_mean,0.8124000000000001,0.8866666666666666,0.9196,0.9312,0.9390666666666668,0.9450666666666666,0.9496,0.9521333333333332,0.9528,0.954
,,,,,,,,,,,,,
2024-02-29_15-19,filtered,filtered,ncm_max,0.8357333333333333,0.9069333333333331,0.9295999999999998,0.9397333333333332,0.9489333333333332,0.9538666666666664,0.9573333333333331,0.9581333333333332,0.9592,0.96
2024-02-29_15-19,filtered,filtered,ncm_sum,0.8357333333333333,0.9069333333333331,0.9295999999999998,0.9397333333333332,0.9489333333333332,0.9538666666666664,0.9573333333333331,0.9581333333333332,0.9592,0.96
2024-02-29_15-19,filtered,filtered,ncm_mean,0.8357333333333333,0.9069333333333331,0.9295999999999998,0.9397333333333332,0.9489333333333332,0.9538666666666664,0.9573333333333331,0.9581333333333332,0.9592,0.96
,,,,,,,,,,,,,
2024-03-01_10-13,hierarchical,filtered,ncm_max,0.8376,0.9072,0.9302666666666666,0.9377333333333332,0.9496,0.9537333333333332,0.9566666666666666,0.9584,0.9596,0.9605333333333332
2024-03-01_10-13,hierarchical,filtered,ncm_sum,0.8344000000000001,0.9054666666666666,0.9266666666666667,0.9361333333333332,0.9449333333333334,0.9508,0.9562666666666664,0.9558666666666666,0.9554666666666666,0.9582666666666664
2024-03-01_10-13,hierarchical,filtered,ncm_mean,0.8351999999999999,0.9048,0.9282666666666666,0.9358666666666666,0.9474666666666666,0.9508,0.9542666666666666,0.9556,0.9576,0.9574666666666666
,,,,,,,,,,,,,
2024-03-01_17-21,AMG,filtered,ncm_max,0.8353333333333335,0.9058666666666666,0.9293333333333332,0.937333333333333,0.9457333333333334,0.9499999999999998,0.9554666666666666,0.9550666666666664,0.9585333333333332,0.96
2024-03-01_17-21,AMG,filtered,ncm_sum,0.8353333333333332,0.9050666666666664,0.9263999999999996,0.9361333333333332,0.9462666666666668,0.9489333333333332,0.9553333333333331,0.9557333333333332,0.9556,0.9587999999999998
2024-03-01_17-21,AMG,filtered,ncm_mean,0.8304,0.9010666666666666,0.9245333333333332,0.9325333333333332,0.9442666666666664,0.9482666666666666,0.9521333333333332,0.9522666666666664,0.9528,0.9554666666666668
,,,,,,,,,,,,,
2024-03-08_19-55,AMG,whole,ncm_max,0.8113333333333334,0.8865333333333334,0.9174666666666664,0.9287999999999998,0.938,0.9425333333333332,0.9484,0.9489333333333332,0.9522666666666666,0.9541333333333332
2024-03-08_19-55,AMG,whole,ncm_sum,0.8097333333333333,0.8873333333333332,0.9166666666666664,0.9289333333333332,0.9393333333333332,0.9436,0.9495999999999998,0.950133333333333,0.9517333333333332,0.9538666666666664
2024-03-08_19-55,AMG,whole,ncm_mean,0.8024,0.8806666666666666,0.912,0.9219999999999996,0.9332,0.9367999999999996,0.9446666666666664,0.9458666666666666,0.9468,0.9504
,,,,,,,,,,,,,
2024-03-08_21-48,hierarchical,whole,ncm_max,0.8141333333333333,0.8872,0.9165333333333332,0.9292,0.9386666666666664,0.9442666666666665,0.9490666666666666,0.9505333333333332,0.9530666666666666,0.9546666666666667
2024-03-08_21-48,hierarchical,whole,ncm_sum,0.8136,0.8898666666666667,0.9162666666666666,0.9302666666666667,0.94,0.9451999999999999,0.9501333333333332,0.9513333333333333,0.9535999999999999,0.9557333333333332
2024-03-08_21-48,hierarchical,whole,ncm_mean,0.8098666666666667,0.8826666666666668,0.9133333333333333,0.9274666666666666,0.9359999999999999,0.9414666666666668,0.9472,0.9488000000000001,0.9505333333333332,0.9524000000000001
