date,Q,S,classifier,shot_1,shot_2,shot_3,shot_4,shot_5,shot_6,shot_7,shot_8,shot_9,shot_10
2024-02-29_15-23,whole,whole,ncm_max,0.6601333333333335,0.7470666666666667,0.7763999999999999,0.7901333333333332,0.8092,0.8182666666666667,0.8309333333333335,0.8319999999999999,0.8390666666666666,0.8375999999999999
2024-02-29_15-23,whole,whole,ncm_sum,0.6601333333333335,0.7470666666666667,0.7763999999999999,0.7901333333333332,0.8092,0.8182666666666667,0.8309333333333335,0.8319999999999999,0.8390666666666666,0.8375999999999999
2024-02-29_15-23,whole,whole,ncm_mean,0.6601333333333335,0.7470666666666667,0.7763999999999999,0.7901333333333332,0.8092,0.8182666666666667,0.8309333333333335,0.8319999999999999,0.8390666666666666,0.8375999999999999
,,,,,,,,,,,,,
2024-02-29_15-29,whole,filtered,ncm_max,0.6925333333333334,0.7717333333333333,0.7977333333333333,0.8065333333333333,0.8188,0.8252000000000002,0.8332,0.8373333333333335,0.8390666666666668,0.8406666666666668
2024-02-29_15-29,whole,filtered,ncm_sum,0.6925333333333334,0.7717333333333333,0.7977333333333333,0.8065333333333333,0.8188,0.8252000000000002,0.8332,0.8373333333333335,0.8390666666666668,0.8406666666666668
2024-02-29_15-29,whole,filtered,ncm_mean,0.6925333333333334,0.7717333333333333,0.7977333333333333,0.8065333333333333,0.8188,0.8252000000000002,0.8332,0.8373333333333335,0.8390666666666668,0.8406666666666668
,,,,,,,,,,,,,
2024-02-29_15-37,whole,unfiltered,ncm_max,0.6804000000000001,0.7475999999999999,0.7718666666666668,0.7854666666666665,0.8001333333333334,0.812,0.8183999999999999,0.8248000000000002,0.8277333333333334,0.8309333333333333
2024-02-29_15-37,whole,unfiltered,ncm_sum,0.6804000000000001,0.7475999999999999,0.7718666666666668,0.7854666666666665,0.8001333333333334,0.812,0.8183999999999999,0.8248000000000002,0.8277333333333334,0.8309333333333333
2024-02-29_15-37,whole,unfiltered,ncm_mean,0.6804000000000001,0.7475999999999999,0.7718666666666668,0.7854666666666665,0.8001333333333334,0.812,0.8183999999999999,0.8248000000000002,0.8277333333333334,0.8309333333333333
,,,,,,,,,,,,,
2024-02-29_15-43,filtered,whole,ncm_max,0.6914666666666668,0.7773333333333333,0.8062666666666668,0.8193333333333334,0.8369333333333333,0.8478666666666667,0.8571999999999999,0.8583999999999999,0.8642666666666665,0.8630666666666668
2024-02-29_15-43,filtered,whole,ncm_sum,0.6976,0.7821333333333332,0.8146666666666667,0.8288000000000001,0.8453333333333333,0.8556,0.8659999999999998,0.8665333333333334,0.8742666666666665,0.8727999999999999
2024-02-29_15-43,filtered,whole,ncm_mean,0.6874666666666669,0.7749333333333333,0.8040000000000002,0.8169333333333334,0.8336,0.8453333333333333,0.8557333333333332,0.8567999999999999,0.8621333333333332,0.8610666666666666
,,,,,,,,,,,,,
2024-02-29_15-52,filtered,filtered,ncm_max,0.7366666666666666,0.8231999999999999,0.8470666666666666,0.8623999999999999,0.8741333333333334,0.8815999999999998,0.8876,0.8906666666666665,0.8949333333333332,0.8969333333333332
2024-02-29_15-52,filtered,filtered,ncm_sum,0.7424000000000001,0.824533333333333,0.8519999999999999,0.8681333333333331,0.8794666666666666,0.8855999999999998,0.8931999999999998,0.8974666666666665,0.9029333333333333,0.9044
2024-02-29_15-52,filtered,filtered,ncm_mean,0.7328,0.8186666666666667,0.8429333333333332,0.8598666666666663,0.8705333333333336,0.8773333333333333,0.8839999999999999,0.8876,0.8913333333333331,0.8939999999999999
,,,,,,,,,,,,,
2024-02-29_16-01,filtered,unfiltered,ncm_max,0.7126666666666668,0.7874666666666665,0.8136000000000001,0.8274666666666667,0.8442666666666666,0.8578666666666668,0.8602666666666667,0.8697333333333332,0.8708,0.8732000000000002
2024-02-29_16-01,filtered,unfiltered,ncm_sum,0.7140000000000001,0.7882666666666667,0.8157333333333334,0.8324000000000001,0.8482666666666667,0.8638666666666667,0.8669333333333334,0.8743999999999998,0.8766666666666667,0.8785333333333334
2024-02-29_16-01,filtered,unfiltered,ncm_mean,0.7097333333333334,0.7849333333333334,0.8094666666666666,0.8238666666666665,0.8406666666666668,0.8534666666666666,0.8562666666666668,0.8648,0.8672,0.8702666666666667
,,,,,,,,,,,,,
2024-02-29_16-10,unfiltered,whole,ncm_max,0.6870666666666666,0.7750666666666666,0.8049333333333333,0.8181333333333334,0.8351999999999999,0.8459999999999998,0.8555999999999999,0.8577333333333335,0.8627999999999999,0.8628
2024-02-29_16-10,unfiltered,whole,ncm_sum,0.6841333333333333,0.7669333333333332,0.8017333333333332,0.8151999999999999,0.8302666666666667,0.8398666666666667,0.8472000000000002,0.8486666666666666,0.8566666666666667,0.8560000000000001
2024-02-29_16-10,unfiltered,whole,ncm_mean,0.6821333333333334,0.7714666666666666,0.7986666666666667,0.8124000000000002,0.8305333333333332,0.84,0.8506666666666667,0.8536,0.8577333333333335,0.8593333333333333
,,,,,,,,,,,,,
2024-02-29_16-20,unfiltered,filtered,ncm_max,0.7186666666666666,0.8068,0.8311999999999999,0.8478666666666664,0.8610666666666669,0.8708,0.8756,0.8789333333333333,0.8825333333333332,0.8850666666666666
2024-02-29_16-20,unfiltered,filtered,ncm_sum,0.7125333333333335,0.7888,0.8146666666666667,0.8291999999999998,0.8389333333333333,0.8456,0.8548,0.8575999999999999,0.8599999999999999,0.8633333333333334
